,Wavelength,all_lambda,lambda_lt_6500,lambda_features,lambda_3500_8000
467,5022.61115799097,1.0,1.0,0.0,1.0
468,5028.120872650515,1.0,1.0,0.0,1.0
469,5033.636631368558,1.0,1.0,0.0,1.0
470,5039.1584407753135,1.0,1.0,0.0,1.0
471,5044.686307508289,1.0,1.0,0.0,1.0
472,5050.220238212254,1.0,1.0,0.0,1.0
473,5055.760239539285,1.0,1.0,0.0,1.0
474,5061.306318148738,1.0,1.0,0.0,1.0
475,5066.858480707292,1.0,1.0,0.0,1.0
476,5072.416733888921,1.0,1.0,0.0,1.0
477,5077.98108437494,1.0,1.0,0.0,1.0
478,5083.5515388539725,1.0,1.0,0.0,1.0
479,5089.128104022,1.0,1.0,0.0,1.0
480,5094.710786582329,1.0,1.0,0.0,1.0
481,5100.299593245639,1.0,1.0,0.0,1.0
482,5105.894530729952,1.0,1.0,0.0,1.0
483,5111.49560576068,1.0,1.0,0.0,1.0
484,5117.1028250705895,1.0,1.0,0.0,1.0
485,5122.716195399857,1.0,1.0,0.0,1.0
486,5128.3357234960295,1.0,1.0,0.0,1.0
487,5133.961416114078,1.0,1.0,0.0,1.0
488,5139.593280016362,1.0,1.0,0.0,1.0
489,5145.23132197268,1.0,1.0,0.0,1.0
490,5150.875548760238,1.0,1.0,0.0,1.0
491,5156.525967163695,1.0,1.0,0.0,1.0
492,5162.182583975132,1.0,1.0,0.13743828744893302,1.0
493,5167.845405994102,1.0,1.0,0.6360567386154219,1.0
494,5173.514440027598,1.0,1.0,1.0,1.0
495,5179.189692890098,1.0,1.0,1.0,1.0
496,5184.871171403535,1.0,1.0,1.0,1.0
497,5190.5588823973485,1.0,1.0,1.0,1.0
498,5196.252832708448,1.0,1.0,1.0,1.0
499,5201.9530291812625,1.0,1.0,1.0,1.0
500,5207.65947866771,1.0,1.0,1.0,1.0
501,5213.372188027244,1.0,1.0,1.0,1.0
502,5219.091164126824,1.0,1.0,1.0,1.0
503,5224.816413840962,1.0,1.0,1.0,1.0
504,5230.54794405169,1.0,1.0,1.0,1.0
505,5236.285761648613,1.0,1.0,1.0,1.0
506,5242.029873528868,1.0,1.0,1.0,1.0
507,5247.7802865971835,1.0,1.0,1.0,1.0
508,5253.537007765839,1.0,1.0,1.0,1.0
509,5259.300043954719,1.0,1.0,1.0,1.0
510,5265.069402091276,1.0,1.0,1.0,1.0
511,5270.845089110585,1.0,1.0,1.0,1.0
512,5276.627111955308,1.0,1.0,1.0,1.0
513,5282.41547757574,1.0,1.0,1.0,1.0
514,5288.210192929784,1.0,1.0,1.0,1.0
515,5294.011264982994,1.0,1.0,1.0,1.0
516,5299.818700708545,1.0,1.0,1.0,1.0
517,5305.632507087284,1.0,1.0,1.0,1.0
518,5311.45269110769,1.0,1.0,0.8952303212592543,1.0
519,5317.2792597659345,1.0,1.0,0.39664770697256846,1.0
520,5323.11222006584,1.0,1.0,0.0,1.0
521,5328.951579018933,1.0,1.0,0.0,1.0
522,5334.797343644414,1.0,1.0,0.0,1.0
