log Sparks,Fraction_Core_burned,Fraction_Core_burned_lower_limit,Fraction_Core_burned_upper_limit
0.34168464532589404,0.6999857777435973,0.5599886221948779,0.8399829332923167
0.35482636245381305,0.7007628440931177,0.5606102752744943,0.8409154129117412
0.36796807958173205,0.7014852936801397,0.5611882349441117,0.8417823524161676
0.38110979670965106,0.7021531265046631,0.5617225012037305,0.8425837518055957
0.39425151383757007,0.7027663425666879,0.5622130740533503,0.8433196110800255
0.4073932309654891,0.7033249418662143,0.5626599534929715,0.8439899302394571
0.4205349480934081,0.7038289244032422,0.5630631395225938,0.8445947092838906
0.4336766652213271,0.7042782901777715,0.5634226321422172,0.8451339482133259
0.4468183823492461,0.7046730391898024,0.563738431351842,0.8456076470277628
0.4599600994771651,0.7050131714393346,0.5640105371514678,0.8460158057272015
0.4731018166050841,0.7052986869263684,0.5642389495410948,0.8463584243116421
0.4862435337330031,0.7055295856509037,0.564423668520723,0.8466355027810845
0.4993852508609221,0.7057058676129404,0.5645646940903524,0.8468470411355284
0.5125269679888411,0.7058275328124787,0.564662026249983,0.8469930393749744
0.5256686851167601,0.7058945812495184,0.5647156649996148,0.8470734974994221
0.5388104022446791,0.7059070129240596,0.5647256103392476,0.8470884155088715
0.5519521193725981,0.7058648278361023,0.5646918622688818,0.8470377934033227
0.5650938365005171,0.7057680259856465,0.5646144207885172,0.8469216311827757
0.5782355536284361,0.705616607372692,0.5644932858981536,0.8467399288472305
0.5913772707563552,0.7054105719972392,0.5643284575977914,0.8464926863966871
0.6045189878842742,0.7051499198592878,0.5641199358874303,0.8461799038311453
0.6176607050121932,0.7048346509588379,0.5638677207670704,0.8458015811506054
0.6308024221401121,0.7044647652958895,0.5635718122367116,0.8453577183550675
0.6439441392680311,0.7040402628704425,0.5632322102963541,0.844848315444531
0.6570858563959501,0.7035611436824971,0.5628489149459978,0.8442733724189965
0.6702275735238691,0.7030274077320531,0.5624219261856425,0.8436328892784637
0.6833692906517881,0.7024390550191106,0.5619512440152885,0.8429268660229328
0.6965110077797071,0.7017960855436696,0.5614368684349357,0.8421553026524035
0.7096527249076261,0.7010984993057301,0.5608787994445841,0.8413181991668761
0.7227944420355451,0.700346296305292,0.5602770370442336,0.8404155555663504
0.7359361591634641,0.6995394765423555,0.5596315812338845,0.8394473718508265
0.7490778762913831,0.6986780400169204,0.5589424320135363,0.8384136480203044
0.7622195934193021,0.6977619867289868,0.5582095893831894,0.8373143840747842
0.7753613105472211,0.6967913166785547,0.5574330533428438,0.8361495800142655
0.7885030276751401,0.6957660298656241,0.5566128238924993,0.8349192358387488
0.8016447448030591,0.6946861262901949,0.5557489010321559,0.8336233515482339
