wavelength,flux,flux_err,weight
2003.0,3.321998503955647e-14,1.4337422293533783e-15,1.0
2004.4,3.513844659382664e-14,1.4413635531098232e-15,1.0
2005.8,3.8130346370469855e-14,1.4863108282562791e-15,1.0
2007.2,3.6015610200027814e-14,1.6319337664248315e-15,1.0
2008.6,3.5592919729196346e-14,1.5865710396343208e-15,1.0
2010.0,3.6528462519466455e-14,1.4871803760496141e-15,1.0
2011.4,3.5313862572379375e-14,1.4831869645294956e-15,1.0
2012.8,3.6814824333588576e-14,1.4731212291403634e-15,1.0
2014.2,3.520231842993786e-14,1.466506651163227e-15,1.0
2015.6,3.548860591240779e-14,1.4517007455837355e-15,1.0
2017.0,3.392871728945663e-14,1.401471982306721e-15,1.0
2018.4,3.564032724026103e-14,1.3756832085877226e-15,1.0
2019.8,3.7660090482444046e-14,1.407501207874843e-15,1.0
2021.2,3.5400289840127156e-14,1.4108334072494093e-15,1.0
2022.6,3.583986739500782e-14,1.7730843773714626e-15,1.0
2024.0,3.5306006085164233e-14,1.4313010781345483e-15,1.0
2025.4,3.448968657535752e-14,1.372429819823471e-15,1.0
2026.8,3.4521457357252944e-14,1.3669732377701155e-15,1.0
2028.2,3.317491719875886e-14,1.3214017332661804e-15,1.0
2029.6,3.3951418529768894e-14,1.3037858167065994e-15,1.0
2031.0,3.192054168274487e-14,1.3099394407347837e-15,1.0
2032.4,2.979519840963569e-14,1.3374043707414971e-15,1.0
2033.8,3.375211351920873e-14,1.3036610332078303e-15,1.0
2035.2,3.2552037718698364e-14,1.4323604426976195e-15,1.0
2036.6,3.106862412881692e-14,1.2335968274010788e-15,1.0
2038.0,3.000846551602701e-14,1.2353093848864414e-15,1.0
2039.4,2.8774731894587307e-14,1.1944313832740815e-15,1.0
2040.8,2.876809741613892e-14,1.2308059666477317e-15,1.0
2042.2,3.094825788744492e-14,1.209847239683034e-15,1.0
2043.6,2.8227292446950147e-14,1.1793362879103846e-15,1.0
2045.0,2.916253267234537e-14,1.3012220694881723e-15,1.0
2046.4,2.903694407140787e-14,1.288898396271083e-15,1.0
2047.8,3.007564694919224e-14,1.1777990698279215e-15,1.0
2049.2,2.962182970179346e-14,1.1770909158539325e-15,1.0
2050.6,3.007476950562951e-14,1.1784063671033146e-15,1.0
2052.0,2.806267909979696e-14,1.1952271288755445e-15,1.0
2053.4,2.8560112030268794e-14,1.2239848289222883e-15,1.0
2054.8,2.909618152187781e-14,1.227520218818787e-15,1.0
2056.2,2.740816272034001e-14,1.320354598088869e-15,1.0
2057.6,2.5273807785265733e-14,1.2474206474870788e-15,1.0
2059.0,2.6077993047261713e-14,1.123956322278841e-15,1.0
2060.4,2.5267738319604114e-14,1.1836645864789822e-15,1.0
2061.8,2.408204983930596e-14,1.1965328224783103e-15,1.0
2063.2,2.333401452716011e-14,1.0693372681381617e-15,1.0
2064.6,2.3503607180253844e-14,1.0433775892909159e-15,1.0
